client_id,company_name,industry,region,company_size,plan_type,sales_rep,csm_assigned,contract_signed_date,onboarding_start_date,onboarding_complete_date,days_to_onboard,onboarding_status,sla_met_14_days,onboarding_csat,contract_quarter,implementation_manager,implementation_priority,kickoff_date,go_live_date,delay_reason,integration_required,integration_type,customer_segment,go_live_status,implementation_risk
CB-1014,Cobalt Group,Hospitality,Ahmedabad,Mid (51-250),Growth,A. Mehta,T. D'Souza,10-Aug-2025,11-Aug-2025,06-Sep-2025,26,Completed,No,4.2,2025-Q3,Amit Singh,High,2025-08-11 0:00:00,2025-09-06 0:00:00,Customer Delay,No,None,SMB,Completed,High
CB-1015,Westgate Industries,Real Estate,Ahmedabad,Mid (51-250),Starter,P. Nair,N. Verma,24-Feb-2025,27-Feb-2025,15-Mar-2025,16,Completed,No,3,2025-Q1,Rahul Sharma,High,2025-02-27 0:00:00,2025-03-15 0:00:00,Scope Change,No,None,Enterprise,Completed,Medium
CB-1016,Anchor Industries,Hospitality,Delhi NCR,Small (1-50),Starter,P. Nair,S. Reddy,18-Oct-2025,20-Oct-2025,10-Nov-2025,21,Completed,No,3.9,2025-Q4,Rahul Sharma,Low,2025-10-20 0:00:00,2025-11-10 0:00:00,Scope Change,No,None,Mid-Market,Completed,High
CB-1017,Brightline Enterprises,Healthcare,Chennai,Large (251+),Starter,K. Joshi,N. Verma,10-Aug-2024,12-Aug-2024,25-Aug-2024,13,Completed,Yes,4.2,2024-Q3,Rahul Sharma,Medium,2024-08-12 0:00:00,2024-08-25 0:00:00,None,Yes,SSO,SMB,Completed,Medium
CB-1018,Driftwood Technologies,Healthcare,Pune,Mid (51-250),Starter,V. Shah,N. Verma,13-Mar-2026,14-Mar-2026,,,Dropped,,,2026-Q1,Neha Patel,Low,2026-03-14 0:00:00,,Technical Issue,Yes,None,Mid-Market,Dropped,Medium
CB-1019,Trailmark Technologies,Retail & E-commerce,Pune,Large (251+),Growth,A. Mehta,S. Reddy,01-Dec-2025,02-Dec-2025,,,Dropped,,,2025-Q4,Priya Nair,Low,2025-12-02 0:00:00,,Integration Delay,Yes,None,Mid-Market,Dropped,Low
CB-1020,Highline Networks,Hospitality,Ahmedabad,Mid (51-250),Growth,V. Shah,S. Reddy,06-Feb-2026,07-Feb-2026,04-Mar-2026,25,Completed,No,4.6,2026-Q1,Rahul Sharma,Low,2026-02-07 0:00:00,2026-03-04 0:00:00,Scope Change,No,None,Enterprise,Completed,Medium
CB-1021,Brightline Group,Logistics & Supply Chain,Mumbai,Mid (51-250),Starter,K. Joshi,N. Verma,09-Jun-2025,10-Jun-2025,26-Jun-2025,16,Completed,No,5,2025-Q2,Amit Singh,Medium,2025-06-10 0:00:00,2025-06-26 0:00:00,Customer Delay,No,None,SMB,Completed,High
CB-1022,Coral Enterprises,FinTech,Mumbai,Small (1-50),Growth,R. Iyer,S. Reddy,18-May-2026,20-May-2026,09-Jun-2026,20,Completed,No,3.4,2026-Q2,Amit Singh,High,2026-05-20 0:00:00,2026-06-09 0:00:00,Integration Delay,No,None,Enterprise,Completed,High
CB-1023,Cobalt Pvt Ltd,Hospitality,Hyderabad,Mid (51-250),Growth,S. Kapoor,S. Reddy,13-Apr-2026,15-Apr-2026,13-May-2026,28,Completed,No,3.5,2026-Q2,Karan Mehta,Medium,2026-04-15 0:00:00,2026-05-13 0:00:00,Technical Issue,No,None,Enterprise,Completed,Medium
CB-1024,Anchor Group,FinTech,Hyderabad,Large (251+),Growth,A. Mehta,N. Verma,17-Feb-2026,20-Feb-2026,16-Mar-2026,24,Completed,No,5,2026-Q1,Karan Mehta,Medium,2026-02-20 0:00:00,2026-03-16 0:00:00,Technical Issue,No,None,Mid-Market,Completed,High
CB-1025,Anchor Ventures,Manufacturing,Ahmedabad,Small (1-50),Starter,R. Iyer,M. Khan,24-Jan-2025,26-Jan-2025,10-Feb-2025,15,Completed,No,3.5,2025-Q1,Neha Patel,Medium,2025-01-26 0:00:00,2025-02-10 0:00:00,Resource Constraint,No,None,Mid-Market,Completed,Low
CB-1026,Driftwood Industries,Hospitality,Hyderabad,Small (1-50),Starter,R. Iyer,J. Pillai,25-Aug-2025,26-Aug-2025,20-Sep-2025,25,Completed,No,4.1,2025-Q3,Karan Mehta,Medium,2025-08-26 0:00:00,2025-09-20 0:00:00,Integration Delay,No,None,Enterprise,Completed,Low
CB-1027,Lumen Group,Professional Services,Delhi NCR,Mid (51-250),Growth,P. Nair,T. D'Souza,03-Jul-2024,06-Jul-2024,25-Jul-2024,19,Completed,No,4.1,2024-Q3,Priya Nair,High,2024-07-06 0:00:00,2024-07-25 0:00:00,Resource Constraint,Yes,CRM,SMB,Completed,High
CB-1028,Skyward Pvt Ltd,Hospitality,Delhi NCR,Large (251+),Growth,A. Mehta,S. Reddy,12-Dec-2024,15-Dec-2024,01-Jan-2025,17,Completed,No,4.3,2024-Q4,Priya Nair,High,2024-12-15 0:00:00,2025-01-01 0:00:00,Technical Issue,No,None,Mid-Market,Completed,Low
CB-1029,Skyward Group,Real Estate,Bangalore,Small (1-50),Starter,S. Kapoor,S. Reddy,29-Dec-2025,01-Jan-2026,22-Jan-2026,21,Completed,No,4.1,2025-Q4,Neha Patel,High,2026-01-01 0:00:00,2026-01-22 0:00:00,Technical Issue,Yes,HRMS,Enterprise,Completed,High
CB-1030,Crestline Solutions,Professional Services,Bangalore,Small (1-50),Growth,S. Kapoor,S. Reddy,31-Jan-2026,02-Feb-2026,22-Feb-2026,20,Completed,No,3.4,2026-Q1,Priya Nair,Medium,2026-02-02 0:00:00,2026-02-22 0:00:00,Scope Change,Yes,CRM,SMB,Completed,Low
CB-1031,Quantix Enterprises,Manufacturing,Delhi NCR,Large (251+),Enterprise,S. Kapoor,J. Pillai,17-May-2026,20-May-2026,19-Jun-2026,30,Completed,No,2.8,2026-Q2,Neha Patel,Low,2026-05-20 0:00:00,2026-06-19 0:00:00,Resource Constraint,Yes,CRM,Enterprise,Completed,Low
CB-1032,Coral Pvt Ltd,Hospitality,Hyderabad,Small (1-50),Starter,V. Shah,J. Pillai,18-May-2025,21-May-2025,09-Jun-2025,19,Completed,No,4.9,2025-Q2,Neha Patel,High,2025-05-21 0:00:00,2025-06-09 0:00:00,Customer Delay,No,None,SMB,Completed,Low
CB-1033,Stratos Ventures,Logistics & Supply Chain,Pune,Mid (51-250),Enterprise,K. Joshi,J. Pillai,20-Jun-2025,22-Jun-2025,16-Jul-2025,24,Completed,No,4,2025-Q2,Karan Mehta,High,2025-06-22 0:00:00,2025-07-16 0:00:00,Customer Delay,Yes,HRMS,SMB,Completed,High
CB-1034,Nimbus Systems,FinTech,Delhi NCR,Small (1-50),Starter,R. Iyer,S. Reddy,27-Aug-2025,29-Aug-2025,18-Sep-2025,20,Completed,No,3.6,2025-Q3,Priya Nair,Medium,2025-08-29 0:00:00,2025-09-18 0:00:00,Scope Change,Yes,CRM,Mid-Market,Completed,Medium
CB-1035,Lumen Ventures,Logistics & Supply Chain,Chennai,Small (1-50),Starter,S. Kapoor,S. Reddy,18-Jan-2025,21-Jan-2025,06-Feb-2025,16,Completed,No,3.8,2025-Q1,Rahul Sharma,High,2025-01-21 0:00:00,2025-02-06 0:00:00,Integration Delay,Yes,API,SMB,Completed,Medium
CB-1036,Granite Labs,Logistics & Supply Chain,Mumbai,Small (1-50),Starter,K. Joshi,T. D'Souza,13-Nov-2024,14-Nov-2024,29-Nov-2024,15,Completed,No,5,2024-Q4,Rahul Sharma,Low,2024-11-14 0:00:00,2024-11-29 0:00:00,Integration Delay,Yes,HRMS,SMB,Completed,Medium
CB-1037,Crestline Pvt Ltd,FinTech,Delhi NCR,Large (251+),Growth,K. Joshi,T. D'Souza,31-Aug-2025,02-Sep-2025,20-Sep-2025,18,Completed,No,4.1,2025-Q3,Amit Singh,High,2025-09-02 0:00:00,2025-09-20 0:00:00,Integration Delay,Yes,API,Mid-Market,Completed,Medium
CB-1038,Meridian Enterprises,EdTech,Pune,Small (1-50),Starter,R. Iyer,N. Verma,24-Feb-2025,27-Feb-2025,12-Mar-2025,13,Completed,Yes,3.1,2025-Q1,Amit Singh,High,2025-02-27 0:00:00,2025-03-12 0:00:00,None,No,None,Mid-Market,Completed,High
CB-1039,Pivotal Group,Retail & E-commerce,Bangalore,Mid (51-250),Growth,R. Iyer,M. Khan,22-Dec-2025,25-Dec-2025,22-Jan-2026,28,Completed,No,3.7,2025-Q4,Amit Singh,Low,2025-12-25 0:00:00,2026-01-22 0:00:00,Resource Constraint,No,None,Mid-Market,Completed,Medium
CB-1040,Trailmark Ventures,FinTech,Chennai,Large (251+),Enterprise,S. Kapoor,S. Reddy,06-Aug-2025,08-Aug-2025,07-Sep-2025,30,Completed,No,3.4,2025-Q3,Amit Singh,High,2025-08-08 0:00:00,2025-09-07 0:00:00,Integration Delay,Yes,SSO,SMB,Completed,Low
CB-1041,Westgate Ventures,Logistics & Supply Chain,Bangalore,Mid (51-250),Enterprise,K. Joshi,S. Reddy,15-Mar-2026,18-Mar-2026,,,Dropped,,,2026-Q1,Priya Nair,Medium,2026-03-18 0:00:00,,Technical Issue,No,None,Mid-Market,Dropped,Low
CB-1042,Skyward Labs,Hospitality,Delhi NCR,Large (251+),Enterprise,R. Iyer,S. Reddy,08-Jan-2026,09-Jan-2026,11-Feb-2026,33,Completed,No,3.4,2026-Q1,Neha Patel,Medium,2026-01-09 0:00:00,2026-02-11 0:00:00,Missing Documents,Yes,HRMS,SMB,Completed,High
CB-1043,Granite Group,Real Estate,Pune,Small (1-50),Growth,K. Joshi,N. Verma,07-May-2025,09-May-2025,31-May-2025,22,Completed,No,4.1,2025-Q2,Amit Singh,Medium,2025-05-09 0:00:00,2025-05-31 0:00:00,Scope Change,No,None,Enterprise,Completed,Medium
CB-1044,Coral Labs,Logistics & Supply Chain,Chennai,Large (251+),Enterprise,S. Kapoor,S. Reddy,15-Mar-2026,18-Mar-2026,19-Apr-2026,32,Completed,No,3.5,2026-Q1,Neha Patel,Medium,2026-03-18 0:00:00,2026-04-19 0:00:00,Integration Delay,No,None,Mid-Market,Completed,High
CB-1045,Northbridge Systems,Retail & E-commerce,Ahmedabad,Small (1-50),Growth,P. Nair,M. Khan,02-Mar-2026,04-Mar-2026,27-Mar-2026,23,Completed,No,3.2,2026-Q1,Priya Nair,High,2026-03-04 0:00:00,2026-03-27 0:00:00,Resource Constraint,No,None,Mid-Market,Completed,Medium
CB-1046,Anchor Networks,FinTech,Bangalore,Mid (51-250),Enterprise,V. Shah,J. Pillai,03-Jul-2025,04-Jul-2025,31-Jul-2025,27,Completed,No,3.2,2025-Q3,Priya Nair,Low,2025-07-04 0:00:00,2025-07-31 0:00:00,Customer Delay,Yes,ERP,Mid-Market,Completed,High
CB-1047,Apex Enterprises,Retail & E-commerce,Hyderabad,Large (251+),Growth,S. Kapoor,J. Pillai,18-Apr-2025,21-Apr-2025,12-May-2025,21,Completed,No,3.9,2025-Q2,Rahul Sharma,Medium,2025-04-21 0:00:00,2025-05-12 0:00:00,Scope Change,No,None,Mid-Market,Completed,High
CB-1048,Brightline Group,Manufacturing,Ahmedabad,Mid (51-250),Growth,A. Mehta,T. D'Souza,29-Dec-2025,30-Dec-2025,21-Jan-2026,22,Completed,No,4.9,2025-Q4,Rahul Sharma,Medium,2025-12-30 0:00:00,2026-01-21 0:00:00,Customer Delay,Yes,None,SMB,Completed,Medium
CB-1049,Crestline Technologies,Retail & E-commerce,Bangalore,Small (1-50),Starter,R. Iyer,S. Reddy,25-Nov-2024,27-Nov-2024,15-Dec-2024,18,Completed,No,3,2024-Q4,Karan Mehta,High,2024-11-27 0:00:00,2024-12-15 0:00:00,Technical Issue,Yes,CRM,SMB,Completed,High
CB-1050,Cinder Labs,FinTech,Delhi NCR,Large (251+),Starter,S. Kapoor,T. D'Souza,29-Jan-2025,01-Feb-2025,11-Feb-2025,10,Completed,Yes,2.5,2025-Q1,Amit Singh,Low,2025-02-01 0:00:00,2025-02-11 0:00:00,None,No,None,SMB,Completed,Medium
CB-1051,Foxglove Industries,Logistics & Supply Chain,Hyderabad,Small (1-50),Starter,P. Nair,T. D'Souza,16-Mar-2024,17-Mar-2024,27-Mar-2024,10,Completed,Yes,4.4,2024-Q1,Karan Mehta,Low,2024-03-17 0:00:00,2024-03-27 0:00:00,None,No,None,Enterprise,Completed,Low
CB-1052,Nimbus Group,Healthcare,Chennai,Mid (51-250),Growth,K. Joshi,J. Pillai,21-Feb-2026,23-Feb-2026,24-Mar-2026,29,Completed,No,3.5,2026-Q1,Karan Mehta,High,2026-02-23 0:00:00,2026-03-24 0:00:00,Integration Delay,No,None,Enterprise,Completed,Medium
CB-1053,Highline Industries,Real Estate,Delhi NCR,Small (1-50),Growth,R. Iyer,J. Pillai,20-Dec-2025,22-Dec-2025,13-Jan-2026,22,Completed,No,3.7,2025-Q4,Neha Patel,Medium,2025-12-22 0:00:00,2026-01-13 0:00:00,Missing Documents,Yes,HRMS,Mid-Market,Completed,Low
CB-1054,Stratos Technologies,Hospitality,Ahmedabad,Small (1-50),Starter,A. Mehta,T. D'Souza,10-Jan-2026,13-Jan-2026,31-Jan-2026,18,Completed,No,4.5,2026-Q1,Karan Mehta,High,2026-01-13 0:00:00,2026-01-31 0:00:00,Technical Issue,No,None,SMB,Completed,Low
CB-1055,Pivotal Technologies,Retail & E-commerce,Chennai,Small (1-50),Starter,A. Mehta,S. Reddy,18-Feb-2026,21-Feb-2026,12-Mar-2026,19,Completed,No,3.7,2026-Q1,Rahul Sharma,Low,2026-02-21 0:00:00,2026-03-12 0:00:00,Technical Issue,Yes,HRMS,SMB,Completed,Medium
CB-1056,Lumen Systems,Manufacturing,Mumbai,Mid (51-250),Starter,A. Mehta,N. Verma,20-Aug-2025,21-Aug-2025,08-Sep-2025,18,Completed,No,4.3,2025-Q3,Priya Nair,Medium,2025-08-21 0:00:00,2025-09-08 0:00:00,Missing Documents,No,None,Mid-Market,Completed,Medium
CB-1057,Crestline Group,Real Estate,Delhi NCR,Small (1-50),Starter,K. Joshi,J. Pillai,27-Oct-2025,28-Oct-2025,12-Nov-2025,15,Completed,No,4.7,2025-Q4,Neha Patel,Medium,2025-10-28 0:00:00,2025-11-12 0:00:00,Scope Change,Yes,API,Enterprise,Completed,Medium
CB-1058,Coral Pvt Ltd,Healthcare,Ahmedabad,Small (1-50),Starter,K. Joshi,M. Khan,25-Nov-2024,27-Nov-2024,11-Dec-2024,14,Completed,Yes,4.2,2024-Q4,Amit Singh,Low,2024-11-27 0:00:00,2024-12-11 0:00:00,None,No,None,Mid-Market,Completed,Medium
CB-1059,Nimbus Technologies,Retail & E-commerce,Ahmedabad,Small (1-50),Starter,R. Iyer,M. Khan,25-Oct-2024,27-Oct-2024,13-Nov-2024,17,Completed,No,3.4,2024-Q4,Karan Mehta,High,2024-10-27 0:00:00,2024-11-13 0:00:00,Resource Constraint,No,None,Enterprise,Completed,Medium
CB-1060,Highline Networks,FinTech,Mumbai,Large (251+),Enterprise,S. Kapoor,N. Verma,22-Dec-2025,25-Dec-2025,22-Jan-2026,28,Completed,No,3.7,2025-Q4,Amit Singh,High,2025-12-25 0:00:00,2026-01-22 0:00:00,Scope Change,No,None,SMB,Completed,Low
CB-1061,Driftwood Group,FinTech,Ahmedabad,Mid (51-250),Enterprise,P. Nair,M. Khan,28-Aug-2025,31-Aug-2025,01-Oct-2025,31,Completed,No,4.2,2025-Q3,Amit Singh,High,2025-08-31 0:00:00,2025-10-01 0:00:00,Customer Delay,No,None,SMB,Completed,Medium
CB-1062,Apex Industries,FinTech,Bangalore,Small (1-50),Starter,K. Joshi,N. Verma,25-Oct-2025,27-Oct-2025,10-Nov-2025,14,Completed,Yes,3.1,2025-Q4,Priya Nair,Medium,2025-10-27 0:00:00,2025-11-10 0:00:00,None,Yes,ERP,SMB,Completed,High
CB-1063,Veridian Networks,Professional Services,Bangalore,Large (251+),Starter,V. Shah,N. Verma,10-Feb-2026,12-Feb-2026,06-Mar-2026,22,Completed,No,3.1,2026-Q1,Amit Singh,Low,2026-02-12 0:00:00,2026-03-06 0:00:00,Technical Issue,Yes,HRMS,Mid-Market,Completed,Low
CB-1064,Nimbus Solutions,Real Estate,Delhi NCR,Small (1-50),Enterprise,K. Joshi,N. Verma,03-Dec-2025,05-Dec-2025,09-Jan-2026,35,Completed,No,4,2025-Q4,Rahul Sharma,Medium,2025-12-05 0:00:00,2026-01-09 0:00:00,Resource Constraint,No,None,Mid-Market,Completed,Low
CB-1065,Beacon Technologies,Real Estate,Bangalore,Mid (51-250),Growth,P. Nair,M. Khan,18-Oct-2025,19-Oct-2025,07-Nov-2025,19,Completed,No,4.1,2025-Q4,Amit Singh,Low,2025-10-19 0:00:00,2025-11-07 0:00:00,Scope Change,Yes,None,Enterprise,Completed,High
CB-1066,Harborlight Networks,Manufacturing,Mumbai,Small (1-50),Growth,K. Joshi,S. Reddy,21-Oct-2025,23-Oct-2025,15-Nov-2025,23,Completed,No,4.1,2025-Q4,Amit Singh,Medium,2025-10-23 0:00:00,2025-11-15 0:00:00,Resource Constraint,Yes,SSO,Enterprise,Completed,High
CB-1067,Meridian Labs,Professional Services,Delhi NCR,Large (251+),Growth,V. Shah,M. Khan,01-May-2025,04-May-2025,23-May-2025,19,Completed,No,3.8,2025-Q2,Priya Nair,High,2025-05-04 0:00:00,2025-05-23 0:00:00,Customer Delay,No,None,Mid-Market,Completed,High
CB-1068,Nimbus Labs,EdTech,Delhi NCR,Small (1-50),Starter,V. Shah,S. Reddy,03-Jun-2024,04-Jun-2024,13-Jun-2024,9,Completed,Yes,3.5,2024-Q2,Amit Singh,Medium,2024-06-04 0:00:00,2024-06-13 0:00:00,None,No,None,Mid-Market,Completed,Low
CB-1069,Highline Industries,Manufacturing,Hyderabad,Large (251+),Enterprise,R. Iyer,T. D'Souza,05-Aug-2025,06-Aug-2025,26-Aug-2025,20,Completed,No,3.9,2025-Q3,Amit Singh,Medium,2025-08-06 0:00:00,2025-08-26 0:00:00,Technical Issue,Yes,SSO,SMB,Completed,Low
CB-1070,Trailmark Pvt Ltd,EdTech,Delhi NCR,Mid (51-250),Growth,P. Nair,M. Khan,12-Feb-2025,14-Feb-2025,10-Mar-2025,24,Completed,No,3.5,2025-Q1,Neha Patel,Low,2025-02-14 0:00:00,2025-03-10 0:00:00,Scope Change,No,None,SMB,Completed,High
CB-1071,Brightline Networks,Real Estate,Delhi NCR,Mid (51-250),Starter,A. Mehta,J. Pillai,17-Jul-2025,18-Jul-2025,12-Aug-2025,25,Completed,No,5,2025-Q3,Karan Mehta,Low,2025-07-18 0:00:00,2025-08-12 0:00:00,Resource Constraint,Yes,SSO,SMB,Completed,Low
CB-1072,Foxglove Networks,Logistics & Supply Chain,Bangalore,Mid (51-250),Starter,P. Nair,J. Pillai,25-Mar-2026,26-Mar-2026,14-Apr-2026,19,Completed,No,3.5,2026-Q1,Priya Nair,High,2026-03-26 0:00:00,2026-04-14 0:00:00,Scope Change,No,None,Mid-Market,Completed,High
CB-1073,Meridian Technologies,Manufacturing,Bangalore,Small (1-50),Starter,S. Kapoor,T. D'Souza,02-Mar-2025,03-Mar-2025,20-Mar-2025,17,Completed,No,4.4,2025-Q1,Karan Mehta,High,2025-03-03 0:00:00,2025-03-20 0:00:00,Resource Constraint,No,None,Mid-Market,Completed,Low
CB-1074,Westgate Industries,Manufacturing,Mumbai,Large (251+),Growth,S. Kapoor,T. D'Souza,31-Jul-2024,03-Aug-2024,21-Aug-2024,18,Completed,No,3.7,2024-Q3,Amit Singh,Low,2024-08-03 0:00:00,2024-08-21 0:00:00,Integration Delay,No,None,Mid-Market,Completed,Low
CB-1075,Cobalt Systems,Healthcare,Mumbai,Large (251+),Growth,A. Mehta,T. D'Souza,12-Apr-2025,14-Apr-2025,27-Apr-2025,13,Completed,Yes,3.9,2025-Q2,Neha Patel,Low,2025-04-14 0:00:00,2025-04-27 0:00:00,None,Yes,API,SMB,Completed,Medium
CB-1076,Stratos Industries,Healthcare,Chennai,Large (251+),Enterprise,A. Mehta,S. Reddy,22-Apr-2025,24-Apr-2025,16-May-2025,22,Completed,No,4.1,2025-Q2,Priya Nair,Low,2025-04-24 0:00:00,2025-05-16 0:00:00,Integration Delay,Yes,SSO,Mid-Market,Completed,Medium
CB-1077,Cinder Ventures,Healthcare,Pune,Mid (51-250),Starter,P. Nair,M. Khan,18-Dec-2025,20-Dec-2025,07-Jan-2026,18,Completed,No,3.9,2025-Q4,Rahul Sharma,High,2025-12-20 0:00:00,2026-01-07 0:00:00,Technical Issue,No,None,Mid-Market,Completed,High
CB-1078,Pivotal Solutions,Retail & E-commerce,Chennai,Mid (51-250),Growth,V. Shah,T. D'Souza,20-Oct-2025,23-Oct-2025,10-Nov-2025,18,Completed,No,3.8,2025-Q4,Rahul Sharma,High,2025-10-23 0:00:00,2025-11-10 0:00:00,Customer Delay,Yes,ERP,SMB,Completed,Medium
CB-1079,Anchor Technologies,Manufacturing,Hyderabad,Large (251+),Starter,K. Joshi,M. Khan,19-Feb-2026,20-Feb-2026,14-Mar-2026,22,Completed,No,3.3,2026-Q1,Amit Singh,Medium,2026-02-20 0:00:00,2026-03-14 0:00:00,Missing Documents,Yes,None,SMB,Completed,High
CB-1080,Trailmark Systems,Retail & E-commerce,Delhi NCR,Mid (51-250),Starter,A. Mehta,S. Reddy,19-Dec-2025,21-Dec-2025,15-Jan-2026,25,Completed,No,2.7,2025-Q4,Rahul Sharma,High,2025-12-21 0:00:00,2026-01-15 0:00:00,Integration Delay,No,None,Enterprise,Completed,Medium
CB-1081,Skyward Industries,Manufacturing,Mumbai,Large (251+),Enterprise,K. Joshi,T. D'Souza,16-Jul-2025,18-Jul-2025,21-Aug-2025,34,Completed,No,4.1,2025-Q3,Rahul Sharma,Low,2025-07-18 0:00:00,2025-08-21 0:00:00,Technical Issue,Yes,API,Mid-Market,Completed,High
CB-1082,Summit Systems,EdTech,Mumbai,Large (251+),Starter,A. Mehta,J. Pillai,06-Mar-2026,07-Mar-2026,04-Apr-2026,28,Completed,No,3.1,2026-Q1,Amit Singh,Low,2026-03-07 0:00:00,2026-04-04 0:00:00,Integration Delay,No,None,Mid-Market,Completed,Medium
CB-1083,Stratos Solutions,Healthcare,Ahmedabad,Large (251+),Starter,A. Mehta,N. Verma,26-Dec-2024,27-Dec-2024,12-Jan-2025,16,Completed,No,4.2,2024-Q4,Priya Nair,High,2024-12-27 0:00:00,2025-01-12 0:00:00,Customer Delay,No,None,Enterprise,Completed,Medium
CB-1084,Skyward Group,Logistics & Supply Chain,Pune,Large (251+),Enterprise,V. Shah,M. Khan,12-May-2024,15-May-2024,29-May-2024,14,Completed,Yes,3.5,2024-Q2,Rahul Sharma,Medium,2024-05-15 0:00:00,2024-05-29 0:00:00,None,No,None,Enterprise,Completed,High
